time,iteration,module,variant_index,params,status,resp_len,reward,counts,values
1761285927.4593763,1,login_form,0,"{""username"": ""lab_user_1"", ""password"": ""password1"", ""Login"": ""Login""}",200,56,0.028,"[1, 0, 0]","[0.028, 0.0, 0.0]"
1761285929.333225,2,login_form,1,"{""username"": ""lab_user_2"", ""password"": ""password2"", ""Login"": ""Login""}",200,62,0.04,"[1, 1, 0]","[0.028, 0.04, 0.0]"
1761285930.992806,3,login_form,2,"{""username"": ""normal_user"", ""password"": ""normal_pw"", ""Login"": ""Login""}",200,42,0.0,"[1, 1, 1]","[0.028, 0.04, 0.0]"
1761285932.8793592,4,login_form,1,"{""username"": ""lab_user_2"", ""password"": ""password2"", ""Login"": ""Login""}",200,62,0.04,"[1, 2, 1]","[0.028, 0.04, 0.0]"
1761285934.8652153,5,login_form,0,"{""username"": ""lab_user_1"", ""password"": ""password1"", ""Login"": ""Login""}",200,56,0.028,"[2, 2, 1]","[0.028, 0.04, 0.0]"
1761285937.0738502,6,login_form,2,"{""username"": ""normal_user"", ""password"": ""normal_pw"", ""Login"": ""Login""}",200,42,0.0,"[2, 2, 2]","[0.028, 0.04, 0.0]"
1761285939.0961518,7,login_form,1,"{""username"": ""lab_user_2"", ""password"": ""password2"", ""Login"": ""Login""}",200,62,0.04,"[2, 3, 2]","[0.028, 0.039999999999999994, 0.0]"
1761285940.966816,8,login_form,0,"{""username"": ""lab_user_1"", ""password"": ""password1"", ""Login"": ""Login""}",200,56,0.028,"[3, 3, 2]","[0.027999999999999997, 0.039999999999999994, 0.0]"
1761285942.6161427,9,login_form,2,"{""username"": ""normal_user"", ""password"": ""normal_pw"", ""Login"": ""Login""}",200,42,0.0,"[3, 3, 3]","[0.027999999999999997, 0.039999999999999994, 0.0]"
1761285944.239709,10,login_form,1,"{""username"": ""lab_user_2"", ""password"": ""password2"", ""Login"": ""Login""}",200,62,0.04,"[3, 4, 3]","[0.027999999999999997, 0.039999999999999994, 0.0]"
1761285946.4499662,11,login_form,0,"{""username"": ""lab_user_1"", ""password"": ""password1"", ""Login"": ""Login""}",200,56,0.028,"[4, 4, 3]","[0.027999999999999997, 0.039999999999999994, 0.0]"
1761285948.04998,12,login_form,2,"{""username"": ""normal_user"", ""password"": ""normal_pw"", ""Login"": ""Login""}",200,42,0.0,"[4, 4, 4]","[0.027999999999999997, 0.039999999999999994, 0.0]"
1761285949.9992816,13,login_form,1,"{""username"": ""lab_user_2"", ""password"": ""password2"", ""Login"": ""Login""}",200,62,0.04,"[4, 5, 4]","[0.027999999999999997, 0.039999999999999994, 0.0]"
1761285951.625073,14,login_form,0,"{""username"": ""lab_user_1"", ""password"": ""password1"", ""Login"": ""Login""}",200,56,0.028,"[5, 5, 4]","[0.028, 0.039999999999999994, 0.0]"
1761285953.5036664,15,login_form,2,"{""username"": ""normal_user"", ""password"": ""normal_pw"", ""Login"": ""Login""}",200,42,0.0,"[5, 5, 5]","[0.028, 0.039999999999999994, 0.0]"
1761285955.334287,16,login_form,1,"{""username"": ""lab_user_2"", ""password"": ""password2"", ""Login"": ""Login""}",200,62,0.04,"[5, 6, 5]","[0.028, 0.04, 0.0]"
1761285957.1637545,17,login_form,0,"{""username"": ""lab_user_1"", ""password"": ""password1"", ""Login"": ""Login""}",200,56,0.028,"[6, 6, 5]","[0.028, 0.04, 0.0]"
1761285959.6502907,18,login_form,2,"{""username"": ""normal_user"", ""password"": ""normal_pw"", ""Login"": ""Login""}",200,42,0.0,"[6, 6, 6]","[0.028, 0.04, 0.0]"
1761285961.5531385,19,login_form,1,"{""username"": ""lab_user_2"", ""password"": ""password2"", ""Login"": ""Login""}",200,62,0.04,"[6, 7, 6]","[0.028, 0.04, 0.0]"
1761285963.8514578,20,login_form,0,"{""username"": ""lab_user_1"", ""password"": ""password1"", ""Login"": ""Login""}",200,56,0.028,"[7, 7, 6]","[0.028, 0.04, 0.0]"
1761285966.1524208,21,login_form,2,"{""username"": ""normal_user"", ""password"": ""normal_pw"", ""Login"": ""Login""}",200,42,0.0,"[7, 7, 7]","[0.028, 0.04, 0.0]"
1761285968.1518023,22,login_form,1,"{""username"": ""lab_user_2"", ""password"": ""password2"", ""Login"": ""Login""}",200,62,0.04,"[7, 8, 7]","[0.028, 0.04, 0.0]"
1761285970.551461,23,login_form,0,"{""username"": ""lab_user_1"", ""password"": ""password1"", ""Login"": ""Login""}",200,56,0.028,"[8, 8, 7]","[0.028, 0.04, 0.0]"
1761285972.9430315,24,login_form,2,"{""username"": ""normal_user"", ""password"": ""normal_pw"", ""Login"": ""Login""}",200,42,0.0,"[8, 8, 8]","[0.028, 0.04, 0.0]"
1761285975.130788,25,login_form,1,"{""username"": ""lab_user_2"", ""password"": ""password2"", ""Login"": ""Login""}",200,62,0.04,"[8, 9, 8]","[0.028, 0.04, 0.0]"
